RowId,TypKarty,TxnKod,TxnData,TxnCzas,DataPrzetw,CTLS,PIN,CB,ProductID,MC_Card_Program,MC_GCMS_Program,MC_Product_Class,PEM,MOTO,TypeClass,TypePayment,Region,Country,anon_MID,anon_POS_ID,anon_NrKarty,anon_AuthKod,anon_Kwota,anon_Interchange,anon_MSC,anon_FlatFee,anon_CashAmount,PartnerId,Status,ModifiedDate,CreatedDate,MCC,LocCity,LocZipCode,CorCity,CorZipCode,CASHBACK_A,DCCMarkup,DCCRebate,anon_Eid,anon_ContractEid,anon_Name,MCC_Code,MCC_VISA_report_name,Code,ZipCode,Lat,Lon,ZipCodeLoc
15015,V,2012,20180801,154557,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,b918259696a53b8038f9c0e3a7ada315,17a2822e9a2068de4d8acdffb036da13,7cfbf89ef6dd0e88fcf4ad47f0516fb6,NSGZCL,5.68,-0.01,1.00,0.00,0.00,1,1,2017-07-24,2014-08-13,5462,Warszawa (Ursynów),02785,Warszawa (Wawer),04667,0,350,1.000,b918259696a53b8038f9c0e3a7ada315,4f7e20e2dfae76f4bce556da4b5c75e8,f1fd82927d6c1956b3f541fd33331ae4,5462,Food & Drink,9,02-785,52.1602136122711,21.0238101294041,02785
6693,V,2012,20180801,112819,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,ee1bcaefc4946958fd41c6943fb851c5,2c56f4432805279ed28e9baa001fe7f2,f60baaa62df6980e9020f9823ddca134,VIESXS,5.92,-0.01,1.00,0.00,0.00,1,2,2018-03-19,2016-08-02,5462,Warszawa (Wesoła),05075,Mińsk Mazowiecki,05300,0,350,1.000,ee1bcaefc4946958fd41c6943fb851c5,a757c3ec59f0e4b0d9c191be53498f05,b27ee855415a7bc251caff2a9d56e1af,5462,Food & Drink,9,05-075,52.2470427379142,21.2105076230116,05075
885,V,2012,20180801,174110,20180801,0,1,0,P,NULL,NULL,NULL,05,NULL,I,K,P,PL,8df093e9f2846772f53f8bada9e9c084,2b799b333e64dcfac8c6f2e70758a552,7da46e9659b563489584a0c94c813750,LHNTYC,98.56,-0.30,1.00,0.00,0.00,1,1,2016-03-23,2014-12-02,5812,Warszawa (Śródmieście),00267,Warszawa (Śródmieście),00267,0,350,1.000,8df093e9f2846772f53f8bada9e9c084,e0967d39b2ab3d24f04185b72c24a97d,c7c9f7618903b1e77baf077566e21079,5812,Restaurants,20,00-267,52.2478772103422,21.01330083277,00267
1071,V,2012,20180801,151900,20180801,0,1,0,P,NULL,NULL,NULL,05,NULL,I,K,P,PL,a714d74d70af177dddfd987d26e6723b,af4642384fdfd9b996c413ec3c2e7ba2,ffb27fe8b99e89f9ff03d363e3c6647b,VWTAAW,21.60,-0.06,1.00,0.00,0.00,1,2,2016-03-22,2011-07-29,5812,Warszawa (Mokotów),02739,WARSZAWA,02739,0,350,1.000,a714d74d70af177dddfd987d26e6723b,a6d232726bd75a9f83013c430c344d9a,57e0909f94134189e10aa6b5d6903d0c,5812,Restaurants,20,02-739,52.1733964411621,21.0274764188438,02739
1887,V,2012,20180801,184833,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,9977c4e9e5fe3f94c4cc4f35ade5ae35,24956f8af8b18f24bb4bf0f880d533b3,e516fb211de3936f956956245dbcc840,BPDOFQ,32.80,-0.06,1.00,0.00,0.00,1,2,2016-03-23,2015-08-13,5812,Warszawa (Śródmieście),00066,Warszawa (Ursynów),02818,0,350,1.000,9977c4e9e5fe3f94c4cc4f35ade5ae35,67e2e4b561b48548e61b640e318f03b3,90081a38222cdb926772aded9508fc7a,5812,Restaurants,20,00-066,52.239059723157,21.0132416311055,00066
14830,V,2012,20180801,181518,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,b3f721f762abf0accbe4a85843b919eb,852e4c2a7c3c2be5cb3de5a2573bb46f,56d234d9e0d3dd0c2ae815811375c201,QUBCDT,12.40,-0.02,1.00,0.00,0.00,1,1,2018-08-21,2018-07-24,5331,Warszawa (Śródmieście),00110,Warszawa (Praga-Północ),03433,0,350,1.000,b3f721f762abf0accbe4a85843b919eb,bd8fea757b9f932c5d217d23f575a09a,51ced906bd6a1ee9965b0d2a99be4b1c,5331,General Retail & High Street,10,00-110,52.2317967875,21.008264475,00110
15129,V,2012,20180801,060935,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,b4f9247640e914c60b38d43fc6cc153b,68a33c2bcc544fa2358edb8f7e0a3964,f93aed70397523097b847fcf00dafa1a,GHKWPK,19.92,-0.04,1.00,0.00,0.00,1,1,2018-08-20,2011-07-28,5331,Warszawa (Ursus),02495,WARSZAWA,02495,0,350,1.000,b4f9247640e914c60b38d43fc6cc153b,4e5b05bcf8c9057325cc13bd90acdf2f,9c239ced9b512b230ec674bf19e0cd01,5331,General Retail & High Street,10,02-495,52.1912976497454,20.8848375290252,02495
15683,V,2012,20180801,183559,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,9dd99415468ea049f210cfe7e52af87b,12525adf307508d4f2e6a2ad84e213ab,ba730b1be5ea2ad40f3502acdd7a0da4,XMGTOY,2.32,-0.01,1.00,0.00,0.00,1,1,2017-07-24,2016-08-08,5462,Warszawa (Mokotów),02683,Warszawa (Wawer),04667,0,350,1.000,9dd99415468ea049f210cfe7e52af87b,4f7e20e2dfae76f4bce556da4b5c75e8,f1fd82927d6c1956b3f541fd33331ae4,5462,Food & Drink,9,02-683,52.1696376420459,21.0051109415557,02683
15718,V,2012,20180801,145525,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,9977c4e9e5fe3f94c4cc4f35ade5ae35,24956f8af8b18f24bb4bf0f880d533b3,329dbd5df3b10ba702bade5c6012e196,ZTEJAA,21.60,-0.04,1.00,0.00,0.00,1,2,2016-03-23,2015-08-13,5812,Warszawa (Śródmieście),00066,Warszawa (Ursynów),02818,0,350,1.000,9977c4e9e5fe3f94c4cc4f35ade5ae35,67e2e4b561b48548e61b640e318f03b3,90081a38222cdb926772aded9508fc7a,5812,Restaurants,20,00-066,52.239059723157,21.0132416311055,00066
15446,V,2012,20180801,135059,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,833cd8c8e51558b059dcd2f7cb6c1027,341e0d0d9a43682e1ae620194d9b1a2a,55088b14aa9deb1250ecef102dfd04c2,OTSYID,27.81,-0.06,1.00,0.00,0.00,1,1,2017-07-19,2011-10-03,5411,Warszawa (Praga-Południe),04125,KRAKÓW,30347,0,350,1.000,833cd8c8e51558b059dcd2f7cb6c1027,4623053ff6f2af0f8061557e2776e60a,882bbac687eee07e61f744a3fc9f0e09,5411,Supermarket,22,04-125,52.2333722073783,21.0960463703412,04125
