PartnerId,Status,ModifiedDate,CreatedDate,BigIdea,LocCity,LocZipCode,CorCity,CorZipCode,anon_Eid,anon_AgreementNumber,anon_Regon,anon_Nip,anon_Name
1,1,2016-03-31,2015-04-27,False,Rzeszów,35074,Rzeszów,35074,7ec8a98268c4fafb9f458d2f03980ef8,746985f2b984a2cd067c37b897520332,03f279d0cb66e3f08a8db3af82a0c64d,79a810a492bf25d2ef5ff1c0674a34de,6dce659a0ed24e21e04969638ce2cbb4
1,1,2016-03-31,2015-04-27,False,Gdańsk,80044,Gdańsk,80044,9a3bcc7001425aa1630cd718171d82cb,fb4c0b47866a399fd5d23ea6c8c99091,dfd1795bc2109f995a35d8fd529adbcc,2e0242b6fb0795eda9311847d5e9422f,63b35a24ef31488ef8d75515b9d7de94
1,1,2016-03-31,2015-04-27,False,Białystok,15687,Białystok,15687,d7336500c8c365b1b2131087a29f428a,c9aed96f8c3b270c0681cced6b134739,61b622d9c544ae6b4e19c78e410497bb,342d84c1390e8c123330cc423b123dd9,b527b9378d410eb1c4e7302a1c7d9aae
1,1,2015-05-12,2015-04-09,False,Mszana Dolna,34730,Mszana Dolna,34730,1764d3363b3b6b66a0e2d9ca8451471b,d24ee845b0b0f894d0022ffad736fc33,4fcc984342d647795f71096eae95d541,4daceb87f7bf75594a0c8d2a433692a9,0c696a98f4c02b385bd4a17bef32317e
1,1,2015-05-20,2015-04-13,False,Brzeziny,95060,Brzeziny,95060,c09c99c2175963c070f9b5d8dac55d30,ca62e413e60019af975374f543385555,a09edcffff23777f11eabdbc5b006d77,e9a646a58d40de6da62270ec72d27d61,74aa918afe3662dbc63c28bc0a74b1f2
12,1,2016-03-31,2015-04-02,False,Lublin,20858,Lublin,20858,6a77a2eb1e02e1149d3c4048dcc3edc1,70473b3b5329bcb215a616a94eb0a455,872100bbf381c4110976a1ff852d6c39,66dd3911dcf8cf7ff8ef6aac36fa5581,ec1a9b5ca94dc1796173fb3c007f4d61
12,3,2016-11-30,2015-04-09,False,Jeziorany,11320,Jeziorany,11320,c18c2f04ca0cdf410b1c9d05d250d2c5,3337ad8ba694c912eb8891180283b3ea,bc085b557dd2ede571ee9bca1d42138f,718d271777cf498abd0ed42b63d67884,a740daf75c05bc5c3e0166ab7cf50719
12,3,2016-11-30,2015-03-25,False,Świecie,86105,Świecie,86105,bfd81b027d1e2304d13ee99c556eefe2,49bcbe9a7a6814ffe8b208f51c2b1d4c,7953958ac0679c2f140e4f60121c41aa,f97b874c1bca52333c29143ab007eea0,35631f90bbfc75e342829302eee82a14
12,3,2016-11-30,2015-04-13,False,Antonie,07410,Antonie,07410,34002f7525154e29a6cff6b418353788,93b11915c6d3637815d962a654e981f1,68de4cdb34576b018bbd134e2fa5f843,1e49fcddcb63e7950bbd1c7c42c5e28a,d8b1c5dca9d44259df6c2ec9c634f358
5,3,2016-12-23,2015-03-26,False,Narewka,17220,Narewka,17220,efc5920cecba161deda186c95f3cf085,4e3a659d353e8792441b2d400cd2b4ac,278233de8fba5b09b9c5222858cc8f3e,197d71f81e4e6e43b28543e70cc36c59,2510df5633b0e519be8ec4fad7173b83
6,1,2017-01-03,2015-03-31,False,Jaworki,34460,Jaworki,34460,33a634fe050e8c4c81dfcb2fa58a1d1c,a4d2fe17c84f9dc7dd462d2b11ebaf35,8b5d648a0c6c5e8ce0f4779eeab3d9ea,106d39139d6714fe23b0f31d5118f0b6,6361b5401a8ae09b10ef185e2afaf5bb
4,3,2017-01-05,2015-04-01,False,Piaski,28300,Piaski,28300,30da2e6756b2b6fb6e9932fc07ddbaaf,8e49394d2ae1a347bf38adb351e648c6,6a0fc2f69c02b6e90a439089ebcdcb02,f1ce0b02d37af5a7cf2c1ecefc901fff,04f9ad621becd55effeb0b86c56f0c73
12,1,2018-10-15,2015-04-01,False,Runowo Krajeńskie,89421,Runowo Krajeńskie,89421,c1e7d789531b206f5b48b8e7aa320335,695bacbb29b446dfad11d8be12bc3f49,cd882e3a0bdbec8e39f20bf803fece79,3ece89c6576939666bb4f312c4ee7dab,33902bdd8ef402f2c7ed38fa4dd8ea93
1,1,2017-01-19,2015-04-02,False,PRZECŁAW,72005,Przecław,72005,752eb3285af3105e3570adc3b8f6a392,a83694341e30a7ed4e08c29ae44d4cf0,8cb996f57c2c4aa374389292c1df7cb1,a434ab4d2ced9b7ea0935f3c55797d74,c89b64252e61498e85807fc19cea8ee9
1,1,2017-01-23,2015-04-02,False,Oświęcim,32600,Oświęcim,32600,b2e5551af5df96a5067dcd37c2715a0f,272a98921e114fb0c5f08bc8fd151bf0,382c8663c64bc500c2103113a334c726,9cd0941ddcdbb7894fff1b315684525e,898aee3bd10e375864ca56c5d8d251ec
4,3,2017-01-31,2015-03-26,False,Przecław,72005,Przecław,72005,7b469d9d59004f0f72adda7339790d17,309a7c8fc10123b5c00e4bfa024b9346,08bbe85339b6ca6d20f2f177cb06d521,480efaa9ad23c24765871193fbe9a4d4,361d3c6c86655503f8208ce4820858b9
1,1,2017-02-10,2015-03-27,False,Garwolin,08400,Garwolin,08400,77dc9344a47e855c76e15b543f5640fe,baa64d5a5962af186ed2fbc60c4d9cfe,44aec264c1e9b675eb3fe97308b873eb,fe74e3e32f0be5fd1c7fcb138b3a6e48,44dac94af6ffb8997fb2e5a4080c9c32
1,3,2017-02-06,2015-04-09,False,Gryfino,74100,Gryfino,74100,063205af0cb329aef103bea7eed25969,9c630bf16736368f37c61692f5a2be4c,c3d831acee794c75e226991aa6f384b5,24bc56e1908dadd38324ea941aa542cb,2e7a584c5cdd2e044d9cc0222fb7f4c4
5,3,2017-02-07,2015-03-26,False,Bytom,41902,Bytom,41902,f11c90d13fc1c617740cb228e252dece,eb4e8bf590b81da73cc4e21f7da3916e,1238b03fb087f165d297b681c0c0189f,f5207b46bc02e00cd9cec77e4404f380,6d5439a6582d15f8883973473f28bb15
1,3,2017-02-13,2015-03-24,False,Piaseczno,05502,Piaseczno,05502,c493c909913e18abd647ebf515d18357,fbfef401758befc65576157a84215f5b,0c54a222b0811c12c161a2097e9f6aa3,6774174e5b88127ad9f2d2b39d582b67,2fd7a2e1ea74d6a79cc44ab48e2df2ca
1,3,2017-02-24,2015-03-27,False,Mietków,55081,WROCŁAW,50456,1fbd71d0e273a3bd2989b0171f884a34,249c4a24cfb7f3d8ce6c245f37dc98b7,61682339bea0e4eb00d1a66a33517282,0d888272df96844efe8099fc71f66d6a,5365d063f647979fc6ac5eb45b659b13
1,3,2017-02-24,2015-03-30,False,Turek,62700,Turek,62700,f08893db09ee734ac6f8252406a9bb7a,3e4f1139432a22e82658f6687f590dd9,af5b86d6c14ada01074d05e30ee3061b,7a55d64a2d9b1686995da90ed8324d2b,6493b6948f60fa40cff8de840e4c5869
1,3,2017-02-24,2015-04-07,False,Tyczyn,36020,Tyczyn,36020,832b0232ef5d7de3379fd009b5976600,4774b791cdbbbc8fd784c522271f535b,09ffd40fdf6b8cfaa417fb47fcd79e23,6e9d1fd0781e7337e4bf093fa3ec790c,16ec7c27550a18676ba1f8d3d3d80eda
1,3,2017-02-24,2015-04-10,False,Prudnik,48200,Prudnik,48200,8f2946af6d96ee7501fcfe8d62cf7e16,c935375112ca8c74d232b61b536d04b6,a22bb2ffdaa2e790819026f3970cd040,53c87b03f651e0ec2a4040d84dd357d5,cbec4de30f854b821d74e271c656254b
12,3,2017-03-16,2015-03-27,False,Rybnik,44253,Rybnik,44253,73c0fe082e1c500e52d78cb1dd401c90,1a26ea2151c5f6b3153b21f95aac66c6,d30ce175edd766f277590d446a0252e2,a7295c5335ba5a39c5ffa48fcdfbbcc4,a37262ff145ef386f29c1497a11b8b64
1,3,2017-04-20,2015-04-14,False,Kutno,99300,Kutno,99300,6628c31916f1223cc1300c41a7166ab2,737d50fff952a467548d66bef0794c57,816e8117ba87e29d27f8201d937f8739,171e819656a3557560121417ec692b30,2ec26024f278cfb5e5b2d1d0e5f9733f
