PartnerId,Status,ModifiedDate,CreatedDate,Device,Application,InstalledDate,DeinstalledDate,Connectiv,DCC,ZWROT,PREAUTOR,UNIEWAZ,CASHBACK_A,CONTACTLES,CZASRT,DOWNLOAD,TPWOB,anon_Eid,anon_ParentEid,anon_Name,anon_Logo
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,2,1,0055,0055,0,3dc6a8c451ec46b96dd5ffdeca3f912e,46d5fd4e35b565a9ebbe33b33eca160f,1165ec659b32a1826558bf50f0ec10c9,cb36c9d5eea6c573fb1bc97570ed71b4
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,0,1,0510,0510,0,7dbc04599859852ddc442ee8967c6644,8936dfdd97095547ca3ead90198e1a51,9824aa243e0fe5dcfe1e79935cc24098,c457866cfc23d0ebb0c6e5cc07c0d70e
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0500,0500,0,04ed8bfffcb0b10b6523c7d2385da305,45ad910d33457ef10595292fc15000fe,23a86f06abcde2b5fe9cec7f7e3440c2,242be10812b73ea3b2894dba311f738d
5,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,Vx510G,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,2,1,2321,2321,0,c00dad7c5460691f752c02d9665b8517,a2355d6f5aa8781a6936acda49fc2186,df034028500131cbf5c3b8c015161cbc,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0505,0505,0,7379e8a1fe9cbd699bf998b5bef03587,8b6168a8ad278bbf21b0167961bc77ff,e33f2cd44df01547cfd792d30aece646,242be10812b73ea3b2894dba311f738d
5,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0340,0340,0,3fb34b271b9f8257101903955f5d159e,b4a1c7389cad4b4a309d9f1f426e201b,98ef3b1e9feb94757232e8dc6ae51b9f,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,2249,0310,0,ff08bbc8236b0c27f8e0e3f84ef2c496,8235fdffd77b05a6c67b139016cc024e,8084d240ca338778197a9e2e152ecda2,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL250,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,2301,2301,0,cc0b215b80c8ede13569181ee827fc9d,3c103aeb6e7dc96acddb56638efb73d0,0cc37075aee34adde462ab881f3281ff,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,0450,0450,0,50ddda4af0e29cfcb716b210adb4e148,fd948b0912e875b116cd4a089edda46d,c2723f1765806e6e62d474a6767621d4,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,2155,2155,0,433c7b948721043009a3fe95ab135fbd,965dffdb4c4ca34c5d8dfa484c8398ae,ac41dcdeda81e6c213a07473b7dea355,242be10812b73ea3b2894dba311f738d
