PartnerId,Status,ModifiedDate,CreatedDate,MCC,LocCity,LocZipCode,CorCity,CorZipCode,DCC,CASHBACK_A,DCCMarkup,DCCRebate,anon_Eid,anon_ContractEid,anon_Name
1,2,2017-01-18,2014-12-08,7221,Warszawa (Wola),00850,Warszawa (Wola),00850,N,0,350,1.000,493f4d0d84783fccdb948a0288e31a81,4517f77ef5e4b39bc3cd62ac845f3f94,1a1e48a50916bd0d124bb1df4a73e076
1,1,2016-08-16,2011-07-28,5912,Warszawa (Bielany),01923,WARSZAWA,01923,N,0,0,0.000,1596e21092dd954f6c0ed0e6d789e359,e46f260d49454c263ac20d11336c6ead,9b1a21cac2dc53fdd0de78036f3ae934
13,2,2016-03-23,2016-02-23,5499,Warszawa (Bielany),01819,Warszawa (Bielany),01819,N,0,350,1.000,f8a323aa4a8e275e2b92291c69d5462a,2e3145f61daf7b6b1d27ed160c9ab6fb,fe04fd72c4b348660a19a0cdba402c22
1,2,2016-08-11,2016-08-11,5812,Warszawa (Śródmieście),00491,Warszawa (Śródmieście),00491,Y,0,350,1.000,dcd30d7fbecd125f2cc6dedf26ed5be3,3ccf0c029c9a88d4d67ada91413f86bc,0febda2290292d3ea0f43288a8aaa00e
1,2,2016-03-22,2015-01-30,5921,Warszawa (Wola),00837,Warszawa (Wola),00837,N,0,350,1.000,4ce5846598b8d520c32fe486b7ec2383,737d4b4b7765106f33a287473673f6f2,c4bc9bd4c582f519a6c2a65c61773d53
1,2,2016-07-28,2015-04-10,5941,Warszawa (Śródmieście),00157,Warszawa (Śródmieście),00157,Y,0,350,1.000,98fff5abf5cc61f4cb32cfd993d32436,70359e5aca96c55c00d9a724dd04774a,59051a06cfe8591670a02ef622a2147b
1,2,2016-03-23,2015-04-29,5261,Warszawa (Wola),01424,Warszawa (Wola),01424,N,0,350,1.000,1c3d5850ec2b2519714a0521847bab42,c0d942457279efd879221434dc0c111a,39dc58024d5c575fa80d6658674dfae6
1,2,2016-03-23,2015-04-29,5499,Warszawa (Praga-Południe),03922,Warszawa (Praga-Południe),03922,N,0,350,1.000,cce966b0d905163fce26ead0850ff42e,b48121bcf525b17bcc15b2fa323c7f19,fbd44e317174a5429a4f82ba560fa21c
1,2,2016-03-23,2015-05-05,5261,Warszawa (Praga-Południe),04139,Warszawa (Praga-Południe),04139,N,0,350,1.000,2f34969d7bcf02e53289fb2a8dc43eb5,7497343e1ad445cbc087e070f40ce56a,46cfb3903bc3920b07c5607cbf0791fd
1,2,2016-03-23,2014-12-02,5211,Warszawa (Włochy),02223,Warszawa (Włochy),02223,N,0,350,1.000,970a23402b134e54258568f5db4ff9af,a9ddaa941f1e28a965035e5d10279a04,523dbd2745dd499b5444fa07d651d7de
1,2,2016-03-23,2015-05-14,5712,Warszawa (Śródmieście),00078,Wrocław (Wrocław-Krzyki),53139,N,0,350,1.000,d1cfeda096fdb0e1b57b004022c4569c,c98872ffefb0e74053b907735e5d12a7,dcccbc7f03db72a4831b99b36d0d653e
1,2,2016-03-23,2015-06-23,5441,Warszawa (Praga-Południe),03982,Warszawa (Praga-Południe),03982,N,0,350,1.000,e458ff21df5b15a5ea8e93c9a529ea25,0d8879275c5b053a6f5fbff4dde913ad,65ef0cbd9e98827dbd715be0c06bfa2a
1,2,2016-03-23,2015-02-16,5732,Warszawa (Śródmieście),00609,Warszawa (Wesoła),05075,N,0,350,1.000,af465329b5730fd4c47afe18fe0b5af4,3b5cb6586d327a2f7a222d8293af80bd,2b3b24befc7671167d78f49831442bff
1,2,2016-11-22,2015-11-06,5499,Warszawa (Włochy),02239,Warszawa (Włochy),02239,N,0,350,1.000,bfc57504d5bd25496ac39291ef8e226e,c2b4353b535c312606de2ca55189af02,4b2d633c939c0dc85c7cddbd380ea83f
1,2,2018-05-24,2016-04-06,5499,Warszawa (Ochota),00697,GRODZISK MAZOWIECKI,05825,N,0,350,1.000,d3b7fa609aaa17a87e6d8d9bf7f3bb5d,3df53fac269d7dd75cd61204aa82a353,7957538cbc6987953f001b9d02182d6b
1,2,2016-06-09,2016-04-26,5499,Warszawa (Wola),00875,Warszawa (Bielany),01688,Y,2,350,1.000,e366d1f138d27043bd83df1f77e96c46,3b878137c996fa2c15866abb87286c9d,247d4bb47f1af3aee0b6d199c062a36c
1,2,2016-04-28,2016-04-28,5441,Warszawa (Śródmieście),00130,Warszawa (Śródmieście),00130,Y,0,350,1.000,9ceb290535fa62d9750f99d71fa6db8d,15785876ba8a1e3a61e006ff8648ca5f,12f3cd8a0bb3ac8c5f4a2f0258b7fcd6
1,2,2016-06-16,2016-06-16,5999,Warszawa (Wola),01141,Warszawa (Wola),01141,Y,0,350,1.000,789f308546130bbc41fa78b249c4ac7a,3d5eea787c212a332210777afa87ad36,b061e7080536ed2a81a34767b3ae94bf
1,2,2016-03-22,2012-06-13,7230,Warszawa (Mokotów),00710,Warszawa,03257,N,0,0,1.000,0d5aad73d07f47f0d1823674f904fb34,de0573c31c2f753039939e0bd8f2c0f2,6ffea8d34b5b919a53c50c7735f22b58
1,2,2016-03-22,2014-08-28,7531,Warszawa (Wawer),03995,Warszawa (Wawer),03995,N,0,350,1.000,13c3054b1ec0e8bd4b9e0633deab0c56,92b72a1e9c4d482503b4e7f7553692a5,2effd91944aaa4c58e14f36c05e7ab9e
1,2,2016-03-22,2014-11-07,7531,Warszawa (Rembertów),04419,WYSZKÓW,07200,N,0,350,1.000,7d31089d0c130a61ae070cd3b1608886,c91ca7617fa865d30f4e3f6d678f6263,a99f9515b16513d24796dd88aede2da6
1,2,2017-05-24,2014-11-10,7338,Warszawa (Śródmieście),00625,Warszawa (Śródmieście),00625,Y,0,350,1.000,bf16064b9a4077c08bd2ca9c10efcdff,2277ff4292bdb24442154826bbc356f9,89e9dc6a8ca0541a7fa7104e954551d0
1,2,2016-03-22,2014-11-12,4789,Warszawa (Żoliborz),01793,Duczki,05200,N,0,350,1.000,2f161290006695e308db69de0000061a,e14a453db4d2a7f7649c4a82f3eaf8a7,aa2ec60a60e59f9c65834e31287ac176
1,1,2016-05-24,2014-11-18,7230,Warszawa (Wola),00833,Warszawa (Wola),00833,N,0,350,1.000,5072c7734d41ebf7fda1d8fec18de882,0f1dcb0ad6198f5c7534a15261d1a9b8,9f375211c12a1dfae9c4d67631d1ceba
1,1,2016-03-22,2011-07-28,5722,Warszawa (Wawer),04713,WARSZAWA,04713,N,0,350,1.000,a0c1fb85c279d0ec07b041e670205a5a,e9352bdb5dd7ec7c1d3e87b1e648bc9e,fa5a77c11092d28e85866fab75cb9960
1,2,2016-03-22,2015-02-16,8021,Warszawa (Wola),01032,Warszawa (Wola),01032,N,0,350,1.000,a80993d018c9d5db90e2cc7fc20cc8a3,431b38a08300b077ffd2f9cc971c4b8e,7874f2b47ec16f05aa62c8a7c085502f
1,2,2016-03-23,2015-04-24,7531,Warszawa (Praga-Północ),03751,Warszawa (Praga-Północ),03751,N,0,350,1.000,3ce13f911800abcfaf507f9f013907b5,483253decc81dcfeab0b88fae4e9470c,199671b327ebf10f1cfaf21833a2ca9a
1,2,2016-03-23,2015-07-07,7531,Warszawa (Ochota),02386,Warszawa (Ochota),02386,N,0,350,1.000,4f02ff12a830fad46dcbf93317a521df,5a0b7d1f81114fb8f86330fa6327bf9b,c0ac3ebb52b07497f4532eefe1d9376d
1,2,2016-03-23,2015-07-29,7221,Warszawa (Ursynów),02776,Warszawa (Wilanów),02968,N,0,350,1.000,e5758a57dc544b7f778e56a21f73ba15,6161c088cc0a279cc1f0da8fee0331c2,9c26fb902153fbaf43643d68dbf99ab1
