Segment,KodKraju,Miasto,KodPocztowy,anon_NrKarty,anon_Nazwa,anon_IdKlienta,anon_Plec,anon_DataUr
01,PL,WARSZAWA,03-390,fa0db18f432a4edcf3ac5e3c8562f305,79fc84850abcd64ab3c5aa9a57e51257,d49310b4c0fa4fb1766b6d3a62c04031,K,1953-05-18 00:00:00.000
01,PL,ŁOMŻA,18-402,db4d949b031c7bf015332befb8b3c97e,30cf2231eab37796062294300432de2e,57811dacffe90b6a174e67c8a76ae917,K,1969-06-07 00:00:00.000
01,PL,WARSZAWA,03-126,9af61335020a70a356252d2c4db84294,80fd205cf4ef51f684751e33b1432c85,90648de17a9c9a6ebf6863ae56865d34,K,1979-04-20 00:00:00.000
01,PL,WARSZAWA,03-187,25450648c12cef9ad55f0c87d6e92e94,eb7a0a252169962c206d1a64e599b4e8,6912981802b5557c5c5e7862afe738cd,K,1967-06-07 00:00:00.000
03,PL,WARSZAWA,03-388,b2bff290f3889d802761b067a876fb0b,9d76cc67f93e161df09c1b4f23e70d6d,9d2b2110ecfa08c50154eb4b529dcd20,K,1959-02-05 00:00:00.000
01,PL,WOŁOMIN,05-200,3cba766efbb0ae9447e8b46dc44ae76d,dbc563a0b8c46bf728b434d7eb0d6666,d5f59d37a607068994b876bb65b44956,K,1956-09-07 00:00:00.000
01,PL,WARSZAWA,03-188,afe0842a9e2e8fda34c9276628a5f9d8,db69b1caf41190883a4fc6ff38a74a5e,b3387fef064055a12ccda02e4479a3a6,K,1964-10-17 00:00:00.000
01,PL,WARSZAWA,01-240,df67169d0feca14cf422fa79e887fb1d,d17d5327df233e5792c59af74a19c1a5,7343a02435410f4ec407dcc4c6875181,K,1945-04-09 00:00:00.000
01,PL,MARKI,05-270,e693b2b8f69344c13c8a4eb95fb20c2d,7895a30894ae6cc1e21debe0c92fd582,3f54db77fc666e5e3e73761c07be80e8,K,1944-10-26 00:00:00.000
01,PL,WARSZAWA,03-749,e80367ae4330e092c8f4decbfa5c00d4,40e4613cb277f6b1f9a1b5381c490de3,16a7c5819cdc60854a2fba4c58390884,K,1991-11-20 00:00:00.000
01,PL,WARSZAWA,04-045,ffe97fc8f5f7a42e045964edd13f442f,1e0dd5923ca362735720b6535e288650,fcf84ba2f34b97c11daf05979336e84f,K,1968-04-05 00:00:00.000
01,PL,WARSZAWA,03-209,ee9ba3e3f0cfb930ca7ff074519ee060,3de6da7ecf5e308ba0f1765c0235c573,b5aa278866fe8f5612450ecb41196a50,K,1983-11-25 00:00:00.000
01,PL,WARSZAWA,03-382,0dcca6afbf072fee3e8b88d908dd5f04,95410eabf464fc2c0c5f6864c2855871,d3867e6cb28f722c51c551c590584b38,K,1951-09-15 00:00:00.000
01,PL,SEJNY,16-500,3a8a26e18d7c0d8bc74ac19c0a3c7e82,b72717c2815749ef25aa5e9d16896273,3039eb7be7477c450f7cb01253a51134,M,1946-02-17 00:00:00.000
01,PL,SUWAŁKI,16-400,6a6cea9c0781b6704205f28251dcb4c7,0531a502543da26d15b463736132fcb1,52938e7767fce9b63e791de2353bc971,M,1953-03-20 00:00:00.000
01,PL,SUWAŁKI,16-400,7158bd1876145a98e2407e1b84b01473,51898bbdc9f136e52d9a26fca7d7dba3,e31b33ebdf2d4d401e8aa723320d139c,M,1959-01-29 00:00:00.000
01,PL,SUWAŁKI,16-400,06bd263ae6744b97fd9bee359a35a3a3,af929969396e91c7944a17e96e75761c,1d60f3cd677fa1005c95bc154f4b8553,M,1984-03-02 00:00:00.000
01,PL,SUWAŁKI,16-400,1c0c7d1b8cae75882ee650e04027eba1,54637e5bef6777a1409723957aa7076a,b0a4cf16e1012639aa5fa811d63ee683,M,1960-04-13 00:00:00.000
01,PL,WIŻAJNY,16-407,17c6136ad6941c8bcc4b7924a00ec775,db4e8530ddb7ee5cdb686279f6618003,1794169c700329b6e8655a295ad880e5,M,1959-09-29 00:00:00.000
01,PL,RACZKI,16-420,1f8f8367a05637ebb58e957337654690,90aa2e758078cbc1aca16e8ef6aa0154,1a7eec2934d3963f78480f9dc15de6bd,M,1977-09-14 00:00:00.000
01,PL,BARGŁÓW KOŚCIELNY,16-320,983891b5cbaa45a8a326cb32da9f185a,475d1c31f8cee7a8dd92e644daac3065,f70f4cfb38ad4d61521e9827d8c9e6a8,M,1958-05-27 00:00:00.000
01,PL,BARGŁÓW KOŚCIELNY,16-320,b2dd1f7beee7684ba38895ff4b6ea1c2,7955be131769f6bfa51f516a8e78775b,b5240db07ee3f15d2a0e4f7c04f4829a,M,1985-11-11 00:00:00.000
01,PL,KRASNOPOL,16-503,f0dc2c840a5dc8cc8a28a69b300550dc,8f2b9267d3f6cac209223c95485e04b8,96402f6c5bbc951d4d73ccb4747b3148,M,1952-06-28 00:00:00.000
01,PL,SUWAŁKI,16-400,7eb2bf4831ef6aacc4251b1df6747458,bbe355e4a445b0ac6a8648d1eed6217e,a895878c2a1f7c86e1a761e2357133ea,M,1947-07-01 00:00:00.000
01,PL,AUGUSTÓW,16-300,2c8cda28924f8de0be4ba595a79b8628,4d6e58ae5d789126cf54a29bc4639c9e,486c084ae9c314240bbb2ccbb343de17,M,1978-11-06 00:00:00.000
01,PL,SUWAŁKI,16-400,5ac644ec62de805070f6fd7797c91d03,b6550260d49b310e64d9a44a4aaf5215,00929f34cfcf07725ae4ed60a367859c,M,1984-07-30 00:00:00.000
01,PL,WARSZAWA,03-289,c0d92c6445faf0a5c4134bbdb4b65815,ba8f147aab07ca22a6b2f16ff0e540c9,b6ddff0c2d2f3fb2f14dd3c69a5e67ef,K,1978-04-22 00:00:00.000
01,PL,WARKA,05-660,4843dac40dbd6aa0e98841e4e41b96bb,214ce35dc4781b52c0a658f3e363d2be,8f66cda24a9ac759494d0da02ee8adc1,K,1954-01-06 00:00:00.000
01,PL,BRONISŁAWÓW,05-505,e12dfd2c0076bb23f739f8cd00ef9056,27c3dc97307ad28e174f23660ff99304,9c749deb717af776efb06a376e1e5681,K,1956-06-01 00:00:00.000
01,PL,PIASECZNO,05-501,a25afee35aae5c08ddd0ba3f6fd0663b,3cb8423ec4fe30e87dac0d89bced6194,02a317c06f19b61db02fb7698cf67650,K,1993-08-05 00:00:00.000
01,PL,PIASECZNO,05-500,6bad376637269061fbdb96e2981bc7ce,0b2661f97d2a2abf3017bee2377510a7,e93cc5642881d7d9b93a3c984e5c6087,K,1993-07-19 00:00:00.000
01,PL,PIASECZNO,05-500,7f3a89aada87b889a6cdf425a04b0842,d1ad29b8e8ce3bc6b9c4d0477524685f,6fb1c19cbfb2a34e6719fb2ff1d30cea,K,1988-10-01 00:00:00.000
01,PL,GŁOSKÓW,05-503,da6f5526560a49b4324cce155d835dd5,b254e7c8201ef86cde95307adb6b3bcc,e59891ec4abad602d5e717d80f4dee1e,K,1983-04-26 00:00:00.000
01,PL,ŁOŚ,05-504,edb8e8ca12ff0f0445e771df3a78fb6e,0fb283b5916dedcb933c31e126af385a,d24a582eb2ab19a681e96c84c20e380b,K,1956-09-29 00:00:00.000
01,PL,PIASECZNO,05-501,06ee6e3ad770443adc6d51f79703fcbd,97955e28ac0ef56008f242867216a092,efa472045562fb8d78d317fd342c7f0d,K,1998-11-05 00:00:00.000
01,PL,WARSZAWA,02-746,2c252c443195570f11d857c3a376894e,7d84af23ef70d27da7c46ded7197b717,4de017bbdf1ad72e93bc1b429f9189f7,K,1983-03-14 00:00:00.000
